=== Starting Gemma 4 RL Training Job ===
Node: hpc8l4-01
Date: Thu Jun 18 01:28:31 PM IDT 2026
Loading dataset...
Loaded and formatted 388 tasks.
Train dataset size: 310
Val dataset size: 78
Loading model and processor...
Initializing GRPOTrainer...
Starting RL/GRPO training...
{'loss': '0.2708', 'grad_norm': '1.595', 'learning_rate': '9.763e-06', 'num_tokens': '4.869e+04', 'completions/mean_length': '112', 'completions/min_length': '54', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '91.43', 'completions/min_terminated_length': '54', 'completions/max_terminated_length': '196', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.06875', 'rewards/format_reward/std': '0.02588', 'reward': '0.06875', 'reward_std': '0.02588', 'frac_reward_zero_std': '0', 'entropy': '0.6296', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.06', 'epoch': '0.07742'}
{'loss': '0.327', 'grad_norm': '0.2727', 'learning_rate': '9.742e-06', 'num_tokens': '5.257e+04', 'completions/mean_length': '93.38', 'completions/min_length': '50', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '70.14', 'completions/min_terminated_length': '50', 'completions/max_terminated_length': '124', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.05625', 'rewards/format_reward/std': '0.03204', 'reward': '0.05625', 'reward_std': '0.03204', 'frac_reward_zero_std': '0', 'entropy': '0.6789', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.75', 'epoch': '0.08387'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '9.72e-06', 'num_tokens': '5.641e+04', 'completions/mean_length': '103.1', 'completions/min_length': '58', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '81.29', 'completions/min_terminated_length': '58', 'completions/max_terminated_length': '114', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.075', 'rewards/format_reward/std': '0.02673', 'reward': '0.075', 'reward_std': '0.02673', 'frac_reward_zero_std': '1', 'entropy': '0.7156', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.71', 'epoch': '0.09032'}
{'loss': '0.05993', 'grad_norm': '0.2963', 'learning_rate': '9.699e-06', 'num_tokens': '6.016e+04', 'completions/mean_length': '64.88', 'completions/min_length': '44', 'completions/max_length': '94', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '64.88', 'completions/min_terminated_length': '44', 'completions/max_terminated_length': '94', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.08125', 'reward_std': '0.02588', 'frac_reward_zero_std': '0', 'entropy': '0.6656', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '14.51', 'epoch': '0.09677'}
{'loss': '0.161', 'grad_norm': '0.08021', 'learning_rate': '9.677e-06', 'num_tokens': '6.508e+04', 'completions/mean_length': '219.5', 'completions/min_length': '134', 'completions/max_length': '256', 'completions/clipped_ratio': '0.625', 'completions/mean_terminated_length': '158.7', 'completions/min_terminated_length': '134', 'completions/max_terminated_length': '208', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.03125', 'rewards/format_reward/std': '0.04581', 'reward': '0.03125', 'reward_std': '0.04581', 'frac_reward_zero_std': '0', 'entropy': '0.4576', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.07', 'epoch': '0.1032'}
{'loss': '0.1169', 'grad_norm': '0.08573', 'learning_rate': '9.656e-06', 'num_tokens': '7.018e+04', 'completions/mean_length': '225.5', 'completions/min_length': '69', 'completions/max_length': '256', 'completions/clipped_ratio': '0.75', 'completions/mean_terminated_length': '134', 'completions/min_terminated_length': '69', 'completions/max_terminated_length': '199', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.025', 'rewards/format_reward/std': '0.04629', 'reward': '0.025', 'reward_std': '0.04629', 'frac_reward_zero_std': '0.5', 'entropy': '0.5635', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.19', 'epoch': '0.1097'}
{'loss': '0.08077', 'grad_norm': '0.1618', 'learning_rate': '9.634e-06', 'num_tokens': '7.484e+04', 'completions/mean_length': '157.4', 'completions/min_length': '55', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '124.5', 'completions/min_terminated_length': '55', 'completions/max_terminated_length': '193', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0625', 'rewards/format_reward/std': '0.03536', 'reward': '0.0625', 'reward_std': '0.03536', 'frac_reward_zero_std': '0', 'entropy': '0.6301', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.5', 'epoch': '0.1161'}
{'loss': '0.1546', 'grad_norm': '1.195', 'learning_rate': '9.613e-06', 'num_tokens': '7.886e+04', 'completions/mean_length': '131.8', 'completions/min_length': '45', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '90.33', 'completions/min_terminated_length': '45', 'completions/max_terminated_length': '187', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.2062', 'reward_std': '0.3417', 'frac_reward_zero_std': '0', 'entropy': '0.7026', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.81', 'epoch': '0.1226'}
{'loss': '0.1991', 'grad_norm': '0.1876', 'learning_rate': '9.591e-06', 'num_tokens': '8.329e+04', 'completions/mean_length': '175.9', 'completions/min_length': '38', 'completions/max_length': '256', 'completions/clipped_ratio': '0.625', 'completions/mean_terminated_length': '42.33', 'completions/min_terminated_length': '38', 'completions/max_terminated_length': '45', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.03125', 'rewards/format_reward/std': '0.04581', 'reward': '0.03125', 'reward_std': '0.04581', 'frac_reward_zero_std': '0.5', 'entropy': '0.4599', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.91', 'epoch': '0.129'}
{'loss': '-0.03156', 'grad_norm': '0.3215', 'learning_rate': '9.57e-06', 'num_tokens': '8.704e+04', 'completions/mean_length': '73.25', 'completions/min_length': '48', 'completions/max_length': '98', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '73.25', 'completions/min_terminated_length': '48', 'completions/max_terminated_length': '98', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.2063', 'reward_std': '0.362', 'frac_reward_zero_std': '0.5', 'entropy': '0.5221', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '14.59', 'epoch': '0.1355'}
{'loss': '-0.1081', 'grad_norm': '0.4016', 'learning_rate': '9.548e-06', 'num_tokens': '9.114e+04', 'completions/mean_length': '92.75', 'completions/min_length': '31', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '69.43', 'completions/min_terminated_length': '31', 'completions/max_terminated_length': '116', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.09375', 'rewards/format_reward/std': '0.01768', 'reward': '0.09375', 'reward_std': '0.01768', 'frac_reward_zero_std': '0.5', 'entropy': '0.6158', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.37', 'epoch': '0.1419'}
